	Desulfobulbus_elongatus	KV	AUS-1_2	Desulfomonile_tiedjei	AW-3_4	AR-3	AX-1_4	BRK-cMAG	AW-2	Desulfobulbus_alkaliphilus	AR-4	MAN-1_4	Desulfobulbus_oligotrophicus	GM-3_4	GS	US4	LOE-2	AU-1_5	MAR-mqMAG	AUS-4	ENR-cMAG	AW-1	AUS-3	Desulfovibrio_vulgaris	LOE-1_4_5	SY2	MCF	AX-5	TB	US1	Desulfobulbus_oralis	EH-2	MAR-scMAG	AR-5	F5	A5	UQ	ATG-1	AX-2	Desulfococcus_multivorans	SY1	Desulfobulbus_propionicus	MAR-hqMAG	AS-4_5	AW-5
Desulfobulbus_elongatus	1.0	0.7078153191489363	0.739683583815029	0.7035251948051949	0.7150318072289157	0.7208679545454545	0.7160386803519062	0.7291798599999999	0.7171379054054055	0.7502776369582992	0.7182122140221402	0.7187133613445379	0.7414012158469946	0.7177172468354429	0.728113981264637	0.7179371857923498	0.7341806132075471	0.7140138997214486	0.716987512315271	0.7343076923076923	0.7276855069124425	0.7153327433628318	0.718110745614035	0.712145337423313	0.7167625000000001	0.7070619414893616	0.7170143142144637	0.7186629757785467	0.708794745762712	0.7222129239766082	0.7361093314367	0.7336903867403316	0.7168496866840731	0.726042534562212	0.7269413333333333	0.7204837762237764	0.7213641176470589	0.7243070718232043	0.7155253818181818	0.7141533201581026	0.7297084233261338	0.786632037037037	0.7183254294478527	0.7171724444444446	0.714785875
KV	0.708731641337386	1.0	0.7305967896678967	0.676490322580645	0.7220722537313433	0.7168906013363029	0.7233001612903226	0.7839815107033639	0.7222280782312924	0.7059614239482199	0.7149371014492754	0.7244866423357664	0.7008912359550563	0.7211627848101266	0.7483391564291566	0.7200524111282844	0.7246775418994414	0.7225370556309362	0.7218312817089452	0.723359358974359	0.7486282811244981	0.7232398214285715	0.7230660779816513	0.6854162068965519	0.7214519512195122	0.7216230860927153	0.7204539487870619	0.72353443378119	0.7201935576923078	0.7209609836065575	0.7026807359307361	0.7254332899022802	0.721276322147651	0.7223342606516292	0.7469803667481663	0.7236772584269662	0.7431979978118162	0.7217763221884498	0.7217580399274047	0.6827614285714286	0.7453919088319089	0.7098644807121661	0.7229865460030166	0.7209575614035088	0.7217948367029549
AUS-1_2	0.7349527931034483	0.7369794106090372	1.0	0.6978069444444445	0.7767017082917083	0.752437	0.7761296771037184	0.7510066199376947	0.7748162605932204	0.7258775746268656	0.7630534308943088	0.784624347826087	0.7184894063926942	0.7874037564499484	0.7391586535008977	0.7907288132295719	0.8083756627906976	0.7789547402597403	0.7885396346644009	0.8289676530612244	0.7392174520069807	0.7749097117296223	0.7773787950138504	0.705109090909091	0.7751429647058824	0.7861843900267143	0.7883838573883161	0.7908964920948617	0.7765515582655828	0.7960669247787611	0.7229329591836734	0.8119593161094224	0.7858407698961939	0.7924818259803922	0.738091564102564	0.8016282043795621	0.7381870616113745	0.7874222376543211	0.7748185583524027	0.7130287037037036	0.7428119172932329	0.7301758703071671	0.7781315466101696	0.7761731777777777	0.7752844099378884
Desulfomonile_tiedjei	0.6868296721311475	0.6690405714285718	0.6919375	1.0	0.687348	0.7003134782608695	0.6868705714285716	0.6896597826086956	0.6891287096774193	0.6852888461538461	0.7021825	0.6912196969696969	0.690065918367347	0.692157	0.6922434210526316	0.6884077142857143	0.6977216	0.6877573529411766	0.6865121951219512	0.6991865217391304	0.6932220512820513	0.6865152941176471	0.6946232000000001	0.6847403636363636	0.6913226923076924	0.6739712195121952	0.6877528571428572	0.687201891891892	0.6795107692307691	0.6940886666666667	0.6874820454545456	0.697750357142857	0.689953	0.7065065217391304	0.6971726086956521	0.6939704000000001	0.66717125	0.693971	0.6928375	0.6904096116504855	0.6806317142857143	0.6870398529411764	0.6852216216216216	0.6937557142857143	0.6896773529411763
AW-3_4	0.7102682544378699	0.7226973684210526	0.7758517940199338	0.6937080645161292	1.0	0.7461599364406779	0.9767500036363636	0.7271391796875001	0.9770818979266349	0.712179129213483	0.7451878157894737	0.789180428979981	0.708960092879257	0.7776930979133226	0.7192714872521246	0.7786022386953299	0.7812898076923078	0.97312342019544	0.7775236542239685	0.7677528988326847	0.719645513888889	0.9770543327171903	0.9723589599555061	0.7039166666666666	0.977971839539007	0.7874414421252373	0.7774139431157079	0.7797476304533789	0.8900291269349847	0.786084557956778	0.7037760262008733	0.7990662647058823	0.7750013245033113	0.7792314408602151	0.7186332921810699	0.7843336279069767	0.7144873728813559	0.7813822795115333	0.9771294941634243	0.6969234615384616	0.7168826141732284	0.7122987331536389	0.979355006263048	0.9698522364802932	0.9782309590598938
AR-3	0.709888006993007	0.7245838121546961	0.7532396569920846	0.7106635	0.7478209238451936	1.0	0.7470547960444993	0.7237715217391303	0.7491271805006587	0.7136003071672354	0.7613607096774194	0.7508112563667233	0.709138060836502	0.7561296778350516	0.7230594929577465	0.7510240264423077	0.7559964328657317	0.7467999399759905	0.7545487395833333	0.7530096165191741	0.7230450205761317	0.7471068934531451	0.7509264452423698	0.719982105263158	0.7499943026706231	0.7482990033594626	0.7520428817204301	0.7595124693042291	0.745829838969404	0.7506802352941176	0.7054039459459459	0.756427885462555	0.7513057616580311	0.7639757607090104	0.7222901960784315	0.752502210338681	0.7187562476190477	0.7559076954732511	0.7484585507246376	0.6956804651162791	0.719184393442623	0.7137073040752351	0.7458916382699871	0.7474895915492958	0.7485030867346939
AX-1_4	0.7095566475644699	0.7237440985915494	0.7731852310231022	0.6929948571428571	0.9765069533259833	0.7444104356846473	1.0	0.7262108542713568	0.9766099316170554	0.7092561971830986	0.7449945287637699	0.7913705744888024	0.707384754601227	0.7781492313787638	0.7180162841530054	0.778976004350979	0.780137794117647	0.9738074036730285	0.779398894634777	0.7686952894211576	0.7187403887399464	0.9984640253853129	0.9721633190578159	0.694793	0.9794215027075812	0.7877227166564229	0.7793332796391752	0.7816269601328903	0.8912413103448275	0.7842840304182509	0.7039264285714286	0.7967495480225989	0.7767759674267101	0.7819644849115504	0.7187150894632208	0.7847365582959641	0.7150261336032387	0.7841014921465969	0.9769395860854249	0.6921945901639345	0.7189269316375199	0.7125586338797814	0.9778663455973543	0.9693576858776947	0.9759738556933484
BRK-cMAG	0.7291652642706131	0.7842334049079756	0.7469679487179488	0.7018069767441861	0.7266328120713306	0.7231701699029126	0.7267391733333334	1.0	0.7265563410852712	0.714392935323383	0.7225538157894738	0.727805425531915	0.7084175308641976	0.7267384269662921	0.7664482298136646	0.7285476494565218	0.7430692890995261	0.7272746464646466	0.7296038555691555	0.7319317842323652	0.7667547179878049	0.7269323641304347	0.7236236188436833	0.6997623684210527	0.7225531949458484	0.7263358040201006	0.7278195662949195	0.730283726169844	0.7236025763358778	0.7280626277372264	0.7203181845238095	0.74273896373057	0.7273261501787842	0.7303776190476191	0.7655108930669801	0.7335226446280991	0.7759367078189301	0.7275319729729731	0.725306813559322	0.6977539325842697	0.7791690491539082	0.7292454729729732	0.7283463927576601	0.7256025415282392	0.725520260115607
AW-2	0.7118406481481482	0.7247408356164384	0.7712334683954619	0.6919472413793102	0.9763758477011493	0.7448399591002045	0.976895727665706	0.7257915673575129	1.0	0.7108235398230087	0.7450926302414231	0.7890351096282173	0.708905588235294	0.7765284115805947	0.7202062692847124	0.778256050110538	0.7815227126436782	0.9747703826714802	0.7775518270481143	0.7712549622641509	0.7203623504867872	0.9769527229705134	0.9714215456431535	0.6991931818181819	0.9780818112568769	0.7869453383934218	0.7783361409179057	0.7799934446254072	0.8904436162361624	0.7848732432432433	0.7077794607843139	0.796265620641562	0.7749688954635109	0.7789801462904912	0.7186000204498977	0.7847924773755657	0.7173330470347647	0.7831615845539281	0.9767075565610861	0.694889375	0.7197387973640857	0.7105447978436658	0.9785310008305648	0.9690953580786027	0.9763088360957645
Desulfobulbus_alkaliphilus	0.7470321638822595	0.701915893416928	0.7221726751592357	0.6993173214285714	0.7090381818181818	0.7124306285714286	0.7096161781609196	0.7137321654501217	0.712145525423729	1.0	0.7117690043290043	0.7134941071428571	0.7231307778915047	0.7158701433691758	0.7092782880434783	0.7130698823529411	0.723279947643979	0.7092898898071626	0.7106657106598985	0.7207370634920635	0.7084656084656085	0.7095108132530122	0.71410085	0.7214550000000002	0.7093149402390438	0.7092260396039605	0.7106413451776651	0.7120472340425532	0.7069900803212852	0.7141853846153847	0.7166441010101009	0.7244041875000001	0.712052807486631	0.7158050246305419	0.7104543461538461	0.714511875	0.7017868110236222	0.7182441520467836	0.7104369288389512	0.7052606077348067	0.7095587037037037	0.7464542715484364	0.7119009345794391	0.7109333455882353	0.7117025925925925
