	Desulfobulbus_elongatus	KV	AUS-1_2	Desulfomonile_tiedjei	AW-3_4	AR-3	AX-1_4	BRK-cMAG	AW-2	Desulfobulbus_alkaliphilus	AR-4	MAN-1_4	Desulfobulbus_oligotrophicus	GM-3_4	GS	US4	LOE-2	AU-1_5	MAR-mqMAG	AUS-4	ENR-cMAG	AW-1	AUS-3	Desulfovibrio_vulgaris	LOE-1_4_5	SY2	MCF	AX-5	TB	US1	Desulfobulbus_oralis	EH-2	MAR-scMAG	AR-5	F5	A5	UQ	ATG-1	AX-2	Desulfococcus_multivorans	SY1	Desulfobulbus_propionicus	MAR-hqMAG	AS-4_5	AW-5
Desulfobulbus_elongatus	1.0	0.07442667795402924	0.03827960604277739	0.017314693031441817	0.07509983081576183	0.03884977938910431	0.07677476234574211	0.11375349480420388	0.06646570517116179	0.2895410420063035	0.06068093185355808	0.053463279347331985	0.34866642789553537	0.07105207961830945	0.09733760092560412	0.08233313216991721	0.04742989126827098	0.08101787174153757	0.0918304684583588	0.028614928041801605	0.09889289448915724	0.07641029562945345	0.05044178969311347	0.03638331903482954	0.057093812066927596	0.0847483551672622	0.09083676661484878	0.06491495482152362	0.05290951205125351	0.03776344646188382	0.1616851588093044	0.040272814947577625	0.08660552005538683	0.04830723635540351	0.06821938574233465	0.06387052042262995	0.07630630651095559	0.040039344232503514	0.061093354716726826	0.05629420641789542	0.10552699640808459	0.4954872003781973	0.07406195883696752	0.06054640224152079	0.0720730407453092
KV	0.10888640051223263	1.0	0.08649618616639206	0.009835783160278607	0.22387330819243179	0.1458447087841462	0.2263893699901036	0.5736251215794628	0.1958738952488724	0.10163950668035479	0.15685645324010425	0.13557343917108222	0.08775902294289027	0.18143334192229932	0.41909804027399417	0.2162027577604758	0.11571814045066563	0.2471526099058011	0.2503525850631104	0.07568591888935428	0.42681997662864724	0.22288033993081754	0.14219261144368195	0.009260926255286003	0.17510621913840965	0.25289711244385904	0.24850454026050076	0.17101087200432086	0.17239496477106833	0.0798999342334126	0.0750633728906356	0.09838038225950926	0.24820472743095157	0.13004631017651988	0.2791109569944189	0.14743471492457913	0.31147521590405397	0.10586535187712036	0.18255791729528162	0.017910396998766367	0.3589380636971025	0.11105865721560017	0.2217247111944787	0.18863365570914237	0.2144330857320516
AUS-1_2	0.07143225937843088	0.12435541551362743	1.0	0.009015039766856005	0.2581493191481123	0.08972228815570853	0.2647323096472363	0.15620905799413842	0.243350856900272	0.06621570552376008	0.15428148953426418	0.19646927973622144	0.054666070994469	0.24792883199247331	0.138584140729708	0.26508978467597416	0.21687798448622914	0.2809452543307544	0.306025515900647	0.1729677168138039	0.14173795251785046	0.2594207398621588	0.18270918025992056	0.008733936033124346	0.21811928694309013	0.28826972763773184	0.3027770467327786	0.25717836390455956	0.18827101842018268	0.11562936759548026	0.048781537221504724	0.16240517230870066	0.3002668334166366	0.2015979886741011	0.09567781496346726	0.17170561841745768	0.10318801752308887	0.15792615720439468	0.2217575007009666	0.013844000335603438	0.13033388956495612	0.07329313741168	0.2465903623011209	0.2295749811940168	0.24919810140243515
Desulfomonile_tiedjei	0.008063242269413011	0.004741821965804646	0.002599192557346553	1.0	0.004682530040093292	0.0029744016686310626	0.004619561095733173	0.00609297311011583	0.00414047620762102	0.006841706032470833	0.002667677029679822	0.0042063561250780795	0.0064980579979215655	0.0039121946331767896	0.00517954039411818	0.004694173932481052	0.0032671842785390653	0.004549850950516981	0.005540654267249086	0.0030655610892983895	0.005307470001273168	0.00448305177839773	0.0032745383158365978	0.007235913073440634	0.003442302291686552	0.005428658407572085	0.0056213954684115755	0.004825933767395171	0.0034804513601675003	0.0020174575652896795	0.005814132529251066	0.003799739146168692	0.00535128780683763	0.003040741213419218	0.0030666335530709463	0.0032792877982579204	0.0031731138847747985	0.002679627340288312	0.003765879932777971	0.014081908961001694	0.0046449938080538045	0.009077180161810269	0.004912037287420444	0.0036836066405118288	0.004557204987814514
AW-3_4	0.08576407821327311	0.1786343385599118	0.1481372979553399	0.007632982488717909	1.0	0.11721581831241078	0.7628377671161818	0.19507673782844648	0.6885407514820044	0.08951367417441272	0.19310851712476	0.2661492278064085	0.08155688391390462	0.32154486583026415	0.17893161889180467	0.3514992472838929	0.2108207734075102	0.7634548184355326	0.40157180848226426	0.12870940833140385	0.18190153879335327	0.7467725188409701	0.486269022264884	0.006660982489871276	0.6161874475037823	0.4137885595801975	0.406743505895291	0.3003834656773854	0.43388972716239727	0.12930108557780945	0.05717758996478482	0.16827191317914933	0.39380330537667957	0.23578914952739347	0.12293075155985672	0.22241412966785626	0.11939020335877756	0.18536279301647846	0.6314557192151222	0.012796606333080265	0.15924681677929775	0.09380189250216328	0.664207015527491	0.5993846210627296	0.7312072551394753
AR-3	0.0646202828025648	0.16410863622256142	0.07960525956163841	0.004444413401204653	0.17788464750502445	1.0	0.18057832340995683	0.1660646640132795	0.16700061769298655	0.06511771697756809	0.1724125678961207	0.12773702677702134	0.05882174303607339	0.17151943364173441	0.16222792203098912	0.1851621277063547	0.10710110061107268	0.1858153517053975	0.21207185889146885	0.07214982061393946	0.16614088866402785	0.17303694192774874	0.11962411225613426	0.003829757253337334	0.14657484076336405	0.19879358546787662	0.20647587626461555	0.1591752917946441	0.13739964007388022	0.07312282372548436	0.04086279016234332	0.0965499083178404	0.21460276024340869	0.14382225018813216	0.11633764544179626	0.1238006764861833	0.11809627871862415	0.10611473540935674	0.1501488962002467	0.00906253397463268	0.1373100533329608	0.07158830914288873	0.17035845021619256	0.15936539789571375	0.17437831357059952
AX-1_4	0.08849845789900988	0.18168533440961562	0.15218565402812642	0.008489137636596086	0.7658424047443518	0.11860675491559272	1.0	0.20261743064045018	0.6937086478970502	0.09067104722888418	0.20796491661922936	0.2668625010498418	0.08312151802461762	0.3304333397101503	0.18762627264158865	0.36406531415933335	0.20940932399518472	0.7813086161684972	0.4115076661782958	0.12622189923384877	0.19029345411957932	0.9359905607555128	0.5131918457619052	0.007303399621123751	0.6197682882445712	0.43091632527365875	0.4135449425619873	0.31158517949962206	0.4359923104918859	0.1356334395617727	0.056208822870687486	0.17949699745238384	0.40650837773775417	0.24592719696899001	0.12821893168096007	0.23334046836943234	0.1252799578196885	0.1955980715572187	0.6302363777190904	0.014879758116443789	0.15981508786009574	0.09309618184193581	0.6831379072219785	0.6324398790582219	0.7469487513881242
BRK-cMAG	0.13333927092610823	0.487902310973609	0.09664932264566634	0.011850185159143111	0.2073410522039407	0.11447116361193144	0.21258488413881466	1.0	0.18222222222222223	0.11354114908045439	0.14842731917686214	0.13112392381130955	0.09064235378677792	0.17470116720573758	0.37697151517992467	0.20817294020219065	0.1172805825091017	0.22535914623665995	0.23320801887529494	0.06590196721823778	0.38395381177830906	0.20854044594446788	0.12928827012922076	0.020768137002140658	0.15574430850482038	0.22660104064126002	0.22940608447006985	0.16212315817434647	0.1475976187127924	0.07563836934952109	0.09436772449569525	0.10720636259941561	0.2388559196237441	0.1216369005765715	0.24839919373740216	0.13667026047281988	0.2830344224128502	0.10208722011281426	0.16547102298473412	0.024379443428803577	0.36349786715417426	0.12527320739386552	0.20482445038203723	0.16878919983124735	0.19550742980359068
AW-2	0.07957670052581582	0.18047426256573443	0.1528201236550951	0.007341630061845432	0.7562123376702732	0.11846906849137863	0.7563032473844084	0.19327464838059993	1.0	0.08390400291864893	0.1959986610936528	0.2669976575100217	0.07634925664169978	0.32489969379819894	0.1783213416962322	0.3501228175334734	0.2177144582511296	0.751180112412097	0.3986212126044381	0.12956661103787	0.17972701452200715	0.7454101771785618	0.5164497401919595	0.005458755753020066	0.6391915652476903	0.4093712117847604	0.40007040286714335	0.31067545321473145	0.43136808389446485	0.1325210277149441	0.050276350627739025	0.17615500791808708	0.39294576386067626	0.24017988796942571	0.12133257545431757	0.22549007042373168	0.12028726277408161	0.18442898416293166	0.6553505433867356	0.011828695099847183	0.15026123875066805	0.09111269615261147	0.655948461047572	0.6184826304323398	0.7378148941110475
Desulfobulbus_alkaliphilus	0.2776514138112589	0.06736442426429354	0.03128698288231077	0.01060179926631674	0.07081766742802412	0.035544030992547965	0.07207895330647796	0.0856034416276229	0.061024909622523486	1.0	0.047930291521512076	0.04606871068448859	0.21380687925645306	0.058222184350058125	0.07760538009001092	0.07185735354183546	0.03919197727924046	0.07573166006072453	0.08293067711938396	0.025138362989459373	0.07966309219026256	0.06897798474174939	0.04132442872009117	0.015932332809999266	0.052020247220601015	0.08440047147670655	0.08279643193435887	0.05844187992767898	0.052156634616025446	0.03232738306625524	0.10506613717572885	0.032734641065506886	0.07892521971937996	0.041715739153036654	0.05407748327409725	0.05420815810845678	0.05315085826469532	0.03526792387441125	0.05508146588125299	0.03592129804620891	0.07866744040132646	0.2896618354268283	0.06733895576287921	0.056516984872186204	0.06184728039249103
