cable_mag,Completeness,Contamination,Strain_heterogeneity,Genome_size_bp,contigs,N50_contigs_bp,Mean_contig_length_bp,Longest_contig_bp,GC,rrna_16S,rrna_23S,rrna_5S,unique_tRNA,gtdb_classification,fastani_ani,MAG_status,ncbi_id,project_id,study_link
A5,63.39,1.22,0,2059092,472,5725,4362,25247,49.7,1,1,0,14,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__Electrothrix marina,100,MQ,GCA_004028495.1,PRJNA278504,https://doi.org/10.1073/pnas.190351411
AR-3,65.78,2.48,0,3292898,1561,2299,2109,10833,44.6,1,1,1,17,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electronema;s__,N/A,MQ,GCA_022765765.1,PRJNA454675,NA
AR-4,77.58,2.68,20,3713322,1246,3538,2980,13164,46.5,1,1,1,19,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,MQ,GCA_022765725.1,PRJNA454675,NA
AR-5,74,2.81,14.29,3539945,1341,3102,2639,15100,47.4,1,1,1,21,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,MQ,GCA_022765745.1,PRJNA454675,NA
AS-4_5,92.45,4.13,15.38,3221535,808,5625,3987,23553,45.1,1,1,1,20,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,HQ,GCA_022765825.1,PRJNA454675,NA
ATG-1,65.74,3.64,0,3103392,1441,2330,2153,11760,47.1,2,1,1,20,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,MQ,GCA_022765905.1,PRJNA454675,NA
AU-1_5,95.24,3.04,0,3596057,163,42289,22061,161489,46.2,1,1,3,21,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,HQ,GCA_022766165.1,PRJNA454675,NA
AUS-1_2,63.07,3.12,16.67,2789006,1349,2251,2067,12134,49.5,1,1,1,18,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,MQ,GCA_022765865.1,PRJNA454675,NA
AUS-3,79.96,3.31,12.5,2707957,998,3154,2713,18839,45.6,1,2,2,21,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,MQ,GCA_022765875.1,PRJNA454675,NA
AUS-4,51.85,1.92,80,2518089,1393,1868,1807,8939,47.7,1,1,1,18,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Electrothrix;s__,N/A,MQ,GCA_022765925.1,PRJNA454675,NA
